PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,avPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over those of negative controls at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
78,17401175,2997422,CC(C(C1=CC=CC=C1)O)NCC2=CC=C(C=C2)Cl.Cl,Active,87,,,21.5
79,47200872,17365829,CCC1=CC=C(C=C1)CNCCC2=CNC3=CC=CC=C32.C(=O)(C(=O)O)O,Active,87,,,18.5
80,47196454,2934374,CC1=CC(=C(C(=C1)C)OCCCCN(C)CC2=CC=CC=C2)C.C(=O)(C(=O)O)O,Active,87,,,21.5
81,47199530,6464138,COC1=CC=C(C=C1)CNC/C=C/C2=CC=CC=C2.Cl,Active,87,,,18
82,17414990,2951296,CCCCNCC1=CC(=C(C(=C1)Br)OCC2=CC=CS2)OC.Cl,Active,87,,,19.5
83,17512317,12005613,CCCCOC1=C(C=C(C=C1)Br)CSC(=N)N.Cl,Active,87,,,20
84,49647578,135755225,CCCCCCCCC1=NCCC2=C1NC3=CC=CC=C23.Cl,Active,87,,,20
85,47203421,761924,C1=CC=C2C(=C1)N=C(N2CCOC3=CC=C(C=C3)Br)N,Active,87,,,20.5
86,850964,653516,CN1C(=CN=C1NCC2=CC=C(C=C2)Cl)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,Active,87,,,21
87,47200654,23724189,CC(CCC1=CC=CC=C1)NCC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,Active,87,,,19
88,47195885,5127299,CCC1=CC2CC(C1)C3=C(C4=C(C=CC(=C4)Cl)N=C3C2)N,Active,87,,,21.5
89,24829585,16196163,CC(C)C1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=CC=C4)C5=CC=CC=C5CC3.[Br-],Active,87,,,20
90,49671922,2815160,CC1=C2CCN(C2=C3C=C(C=CC3=N1)Cl)C4=CC(=CC=C4)OC,Active,87,,,19.5
91,17387473,11948845,CCCCCCCSC1=C(C=C(C(=C1)OC)CCNC)OC.C(=C\C(=O)O)\C(=O)O,Active,87,,,19.5
92,51087863,13015548,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3[N+](=O)[O-])CC4=CC=CC=C4Cl)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,87,,,21.5
93,24795409,2948995,COC1=C(C=CC(=C1)CC=C)OCCN2CCC3=CC=CC=C3C2.C(=O)(C(=O)O)O,Active,87,,,20
94,49644817,24747092,COC1=CC=C(C=C1)CN2CCC(CC2)C(=O)C3=CC=C(C=C3)Cl,Active,87,,,20.5
95,49644141,24747050,C1CN(CCC1C(=O)C2=CC=C(C=C2)Cl)CC3=CC=CC=C3,Active,87,,,20.5
96,24787478,2217233,CCOC1=C(C(=CC(=C1)CNCC(C)C)Cl)OCC2=CC=CC=C2,Active,87,,,20.5
97,4241310,6602960,COC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N4CCCC4.Cl,Active,87,,,21
98,17414973,2950555,CCOC1=C(C(=CC(=C1)CNCCO)Br)OCC2=C(C=C(C=C2)Cl)Cl.Cl,Active,87,,,21
99,47197934,1070039,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CC3=CC(=CC=C3)Br,Active,87,,,20.5
100,17387697,11948857,CCCCCCCSC1=C(C=C(C(=C1)OC)CCN(C)C)OC.C(=C\C(=O)O)\C(=O)O,Active,87,,,19
101,47196931,2934034,C1=CC=C(C=C1)CNCCOCCOC2=CC(=C(C=C2)Cl)Cl.C(=O)(C(=O)O)O,Active,86,,,22.5
102,17406827,11958378,C1=CC(=CC=C1CCNCC2=CC(=C(C=C2)Cl)Cl)F.Cl,Active,86,,,24.5
103,24785323,16188793,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C=C(S3)C4=CC=CC=C4C)C.[I-],Active,86,,,23.5
104,26662056,16682257,COC1=CC=C(C=C1)C(=O)CN2CC3=CC=CC=C3C2=N.Br,Active,86,,,24
105,864625,665867,CC1=CC2=C(C=C1)N=C(N2)NCC3=CC=CC=C3,Active,86,,,22.5
106,49669871,149800,C1=CC=C(C=C1)CNC2=C3C=CC=CC3=NC4=CC=CC=C42,Active,86,,,23.5
107,17413232,2960734,CCOC1=C(C(=CC(=C1)CNCCO)Br)OCC2=CC=CS2.Cl,Active,86,,,23
108,24806274,2934192,CC1=C(C=CC(=C1)Br)OCCNCC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,86,,,25
109,24796355,2983087,CC(C1=CC=CC=C1)NCC2=CC=CC=C2OC3CCCC3.Cl,Active,86,,,23.5
110,4241504,1125097,CCC1=NC(=CN1S(=O)(=O)C2=C(C=CC(=C2)Br)OC)C,Active,86,,,24.5
111,844603,646935,CC1=CC=C(C=C1)CNC2=NC=C(N2C)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,Active,86,,,22.5
112,49665567,17367564,COC1=CC(=CC(=C1)CNCC2=CC=C(C=C2)Br)OC.C(=O)(C(=O)O)O,Active,86,,,23.5
113,24831434,3486787,COC1=CC=C(C=C1)CCNCC(COC2=CC(=CC=C2)Br)O,Active,86,,,25
114,47197384,23723552,CN(CC1CCCN(C1)CCC2=CC=C(C=C2)Cl)CC3=CC=CC=C3O,Active,86,,,23
115,17416027,1302385,CCOC1=C(C(=CC(=C1)CNC(C)(C)CO)Br)OCC2=C(C=C(C=C2)Cl)Cl,Active,86,,,22.5
116,47196540,5737230,C/C=C/C1=CC(=C(C=C1)OCCCCN(C)CC2=CC=CC=C2)OC.C(=O)(C(=O)O)O,Active,86,,,22.5
117,17411933,2983055,COC1=CC=CC(=C1OCC2=CC=CC=C2F)CNCCC3=CNC4=CC=CC=C43.Cl,Active,86,,,23.5
118,49680595,9263275,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)CNCCCO,Active,86,,,23
119,855568,66062,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,Active,86,,,23
120,47200451,16248173,CC1=CC=C(C=C1)CNCC2=C(C=CC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Active,86,,,22.5
121,24837662,2085768,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)F)C,Active,86,,,22
122,24794363,2984034,CCOC1=C(C=C(C=C1)Cl)CNCCC2=CC=C(C=C2)F.Cl,Active,86,,,24
123,24793628,936788,CN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Cl,Active,86,,,25
124,24801349,1736240,CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCCN(C)C)CC3=CC=CC=C3)C,Active,86,,,24.5
125,14732518,2831789,CCCCN1CCC2=C(C3=C(C=CC(=C3)Br)N=C21)N.Cl,Active,86,,,23.5
126,14746078,2874471,CC1=CC(=CC=C1)CN2CCN(CC2)CC3=CC=C(C=C3)Cl.C(=O)(C(=O)O)O,Active,86,,,23.5
127,47198644,3830432,CC(CCC1=CC=C(C=C1)OC)NCC2=CC(=CC=C2)Br,Active,86,,,24
128,47197752,23723819,COC1=CC=C(C=C1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)Cl,Active,86,,,24.5
129,24818309,1486813,C1CNCCC1C2=CC(=NN2)C3=C(C=C(C=C3)Cl)Cl,Active,86,,,22.5
130,47195373,20840395,CN(C)CC/C=C\1/C2=C(C=CC(=C2)F)SC3=C1C=C(C=C3)Cl.Cl,Active,86,,,25
131,49677761,4326443,C1=CC(=CC=C1CCNCC(COC2=C(C=CC(=C2)Cl)Cl)O)Cl,Active,86,,,24
132,47201455,17367787,COC1=CC(=C(C=C1)CNCC2=CC3=CC=CC=C3C=C2)OC.C(=O)(C(=O)O)O,Active,86,,,24.5
133,4263348,892591,CC1=C(C(=CC(=C1C)Br)C(=O)OC2CCN(CC2)C)C,Active,86,,,25
134,51089734,3548104,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=CC=C4[O-])C5=CC=CC=C5,Active,86,,,25
135,24800851,16192520,CN(CC1=CC=CC=C1)CC(COC2=CC=C(C=C2)CNCC3=CC=C(S3)Cl)O,Active,86,,,23.5
136,26660018,16682012,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C[N+]2=C3CCCCCN3C(=C2)C4=CC=C(C=C4)Cl)C(C)C.[Cl-],Active,86,,,25
137,49679507,24762046,CCOC1=CC=CC(=C1O)CNCCC2=C(NC3=C2C=C(C=C3)OC(F)(F)F)C.C(=O)(C(=O)O)O,Active,86,,,22.5
138,49729246,24792586,CC[C@@H](C)[C@H](CNC)NC[C@@H](CC1=CC=CC2=CC=CC=C21)NCCC3=CC(=CC=C3)C(F)(F)F,Active,86,,,22
139,49641835,24746835,CC1=CC(=CC=C1)CNCCC2=CNC3=CC=CC=C32.C(=O)(C(=O)O)O,Active,86,,,22.5
