PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
128,7977777,2933368,CCN(CC)C1=CC=C(C=C1)NC(=O)C2CC3CCC2C3,Active,29,,,65
129,49721832,16014492,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C,Active,28,,,64.5
130,14727345,4464785,CC1=CC=C(C=C1)C2CC2C(=O)NNC(=S)NC3=CC=CC(=C3)C,Active,28,,,64.4
131,17416084,2884425,CC1=CC=C(C=C1)C(=O)N2C(CC(=N2)C(=O)OC)(C3=CC=C(C=C3)Cl)O,Active,28,,,64.4
132,24806593,833786,C1=CC=C(C=C1)CSC2=NC(=S)C3=CC=CC=C3N2,Active,28,,,64.1
133,14727893,4694140,CCCCCCNC(=O)CC(C1=CC=CC=C1)C2=C(C=CC(=C2)Br)O,Active,28,,,64
134,47202702,812443,C=CCN1C(=O)C2=C(NC1=S)SC3=C2CCCC3,Active,28,,,63.4
135,49731810,16014337,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)C,Active,28,,,63.1
136,49665468,1454908,C1=CC=C(C=C1)OCC2=NC(=S)C3=CC=CC=C3N2,Active,28,,,62.9
137,24831078,4840939,CC1=CC=C(C=C1)CC2=CNC(=S)S2,Active,28,,,62.6
138,4249431,3243386,C1=CC=C(C=C1)C2=NN=C(O2)NC3=NC4=C(C=CC=C4S3)F,Active,28,,,62.5
139,24779425,3490356,CC(=O)SCC(=O)N=C1N(C2=C(S1)C=C(C=C2)F)CC#C,Active,27,,,62.3
140,47199343,1696227,CC(=O)OC1=C(OC2=CC=CC=C2C1=O)C3=CC=C(O3)Br,Active,27,,,62.3
141,49677272,916962,C1CN(C2=CC=CC=C21)C(=S)NC(=O)C3=CC=CC=C3Cl,Active,27,,,62.2
142,49724090,5724588,C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3=CC=CO3,Active,27,,,61.8
143,17415357,780021,CCOC(=S)NC(=O)C1=C(C2=CC=CC=C2S1)Cl,Active,27,,,61.8
144,24797320,6466690,CC(C1=CC2=C(C=C1)OCO2)NC(=O)NC3CCCCC3,Active,27,,,61.6
145,26729543,5714323,C1=CC(=CC(=C1)Cl)NC(=O)N/C=C/C2=CC=CO2,Active,27,,,61.1
146,26663554,3844957,CCCCCCCN1C2=CC=CC=C2N=C1NC(=O)CC,Active,27,,,61
147,47195019,3111209,COC1=CC(=C(C=C1)NC(=O)C2CC3CCC2C3)OC,Active,27,,,60.7
148,24794326,2234382,CC1=C(C(=CC=C1)C)NC(=S)NC(=O)C2=CC=C(O2)Br,Active,27,,,60.4
149,24794233,2231436,CCCN(CC1=CC=CC=C1)C(=S)NC(=O)C2=CC=CC=C2[N+](=O)[O-],Active,27,,,60.3
150,14738857,2953526,CC1=CC(=C(C=C1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCN(CC3)C4=CC=C(C=C4)F)Cl,Active,27,,,60.3
151,24803814,1325691,C1CCC2=C(C1)C3=C(N=C2N4CCOCC4)SC5=C3NC=NC5=S,Active,27,,,60.2
152,7975245,823601,CC1=C(C=CO1)C(=O)NC2=CC3=CC=CC=C3C=C2,Active,26,,,60.1
153,49822801,8232877,C1CCN(C1)C2=CC=CC=C2NC(=O)CC3=CC(=CC=C3)C(F)(F)F,Active,26,,,59.9
154,49644568,713448,CCN1C(=O)C2=C(NC1=S)SC3=C2CCCC3,Active,26,,,59.6
155,14736024,7109931,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=C(C=C4)F,Active,26,,,59.5
156,17406830,9599636,CCCCCCCC(=O)N/N=C/C1=CC=CO1,Active,26,,,59.4
157,14732319,2187593,CC(C)(C)C(=O)/C=C/NC1=CC=CC=C1O,Active,26,,,59.3
158,4264472,2963810,CCCCN1N=C(N=N1)NC(=O)CC23CC4CC(C2)CC(C4)C3,Active,26,,,59.1
159,17413221,2965319,CC(C)OC1=CC=C(C=C1)CNC(=O)CC(C2=CC=CC=C2)C3=C(C=CC(=C3)Cl)O,Active,26,,,59
160,14727733,1012208,CCOC(=O)C1=C(SC2=C1CCC2)NS(=O)(=O)C3=CC=C(C=C3)Br,Active,26,,,58.9
161,47197878,2931417,COC1=CC(=C(C=C1)OC)NC(=O)C2CC2C3=CC=CC=C3,Active,26,,,58.8
162,24838672,3237242,C1CN(CCC12OCCO2)C(=O)CN3C(=O)C4=C(C=N3)C5=CC=CC=C5N4CC6=CC(=CC=C6)Cl,Active,26,,,58.5
