PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
902,47204356,868422,CC1=CC=C(C=C1)NC2=NC(=CS2)C3=C(N=C(S3)C)C,Active,61,,,=,0.812,6.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.812,6.090,2.043,6.566,-73.776,15,-91.667,5.6,50,-2.355,15.217,2.174,-23.007,-57.609,-91.667,-61.413,-78.442
903,24787692,1034155,CC1=CC2=C(C=C1C)OC(=C2C)C(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N,Active,61,,,=,0.901,6.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,0.901,6.045,1.615,12.982,-37.018,13,-39.231,16,16,11.846,7.692,24,-8,-23.385,-31.385,-39.231,
904,49668219,135651479,COC1=CC2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=C(C=C(C=C3)O)O,Active,53,,,=,4.83,5.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.83,5.316,1.624,0.425,-60,14,-55,16,16,3.095,13.571,-17.143,0,-10.714,-31.429,-55,
905,49667313,6878444,COC1=C(C2=C(C=C1)NC(=C2)C(=O)N/N=C/C3=CC=CC=C3OC)OC,Active,61,,,=,0.802,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.802,6.096,1.314,0,-69.8,14,-75.092,5.6,16,3.297,2.381,-19.597,-23.443,-50.183,-75.092,-60.806,
906,85146155,44142116,C1=C(C=C(C=C1F)F)NC2=NC(=NC(=N2)NCC(F)F)C#N,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,0.5,0,-100,7,-65.217,5.6,16,4.348,13.043,-4.348,-21.739,-30.435,-65.217,-21.739,
907,26665790,1971928,CC(C)C1=NC2=C(C3=C1COC(C3)(C)C)C4=C(O2)C(=NC=N4)NCCO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.00594,3.00594,16,17.143,0.21,50,-3.571,0.238,17.143,13.333,10.476,-10.238,-10.238,6.905
908,56319943,7780024,CC1=C(C(=NO1)C)COC2=CC=C(C=C2)C(=O)NNC(=O)C3=CC=CC=C3,Active,52,,,=,6.4,5.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.4,5.194,4,5.54,-100,14,-96.703,16,16,11.538,6.868,-3.846,3.297,10.714,-33.516,-96.703,
909,26725300,15621809,CO[C@H]1[C@H]2COC(=O)[C@@H]2[C@@H](C3=CC4=C(C=C13)OCO4)C5=CC(=C(C(=C5)OC)O)OC,Active,56,,,=,2.52,5.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.52,5.599,4,-7.737,-80,12,-77.273,5.6,5.6,0,-13.636,-13.636,-4.545,-22.727,-77.273,,
910,51087516,18578123,CC(C)CCNC(=O)C(=O)NC1=CC2=C(CCCN2S(=O)(=O)C3=CC=CS3)C=C1,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.86957,-8.86957,12,-28,16,50,4.348,-0.174,-4.174,-12.522,-12,-20.522,-28,4
911,24817667,1475729,CC1=C(C=C(C(=O)O1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-14.0806,-14.0806,13,-34.19,1.8,50,0,0,-11.143,-15.143,-34.19,-24,-16.667,-2.381
912,92764013,276685,CCCC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)Cl,Active,49,,,=,11.83,4.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.83,4.927,2.383,0,-200,14,-189.913,16,16,-4.522,8.174,8.87,25.565,24.87,-33.217,-189.913,
913,47202119,135472652,C1=CC=C2C(=C1)C=CC(=C2/C=N\NC(=O)C3=CC(=CN=C3)Br)O,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,15,-146.762,50,50,27.905,7.143,-6.381,-11.143,-53.619,-45.619,4.762,-146.762
914,124754248,53300256,CCOC(=O)[C@]12CCCC=C1N(C(=O)[C@@H](C2)CC(=O)NCC3=CC(=CC=C3)C(F)(F)F)CC4=CC=CC5=CC=CC=C54,Active,45,,,=,30.01,4.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,30.01,4.523,2.66,-4.278,-140,15,-112.5,50,50,-12.5,4.167,-4.167,-12.5,8.333,-16.667,-25,-112.5
915,49665355,5396293,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)Cl)O,Active,48,,,=,16.78,4.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.78,4.775,4,-6.371,-100,16,-108.621,50,50,5.3,-12.708,-5.045,-1.852,-15.645,-9.004,-47.701,-108.621
916,51087987,3001082,C1=CC=C(C=C1)CCNC(=S)NC2=NC=CS2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.55555,-5.55555,12,-25,50,50,0,-8.333,-8.333,-8.333,4.167,-4.167,-4.167,-25
917,24781172,5290648,CC\1(C2=CC=CC=C2N(/C1=C\C=C/3\C(=O)N(C(=S)S3)CC(=O)O)C)C,Active,48,,,=,15.96,4.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.96,4.797,0.952,0,-300,14,-230.769,50,50,11.538,0,-15.385,0,-38.462,-84.615,-138.462,-230.769
918,57267025,25163208,CCOC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CSCC(=O)NC3=CC=C(C=C3)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.7301,11.7301,16,49.275,50,50,-10.507,-2.355,1.812,10.507,2.174,10.87,32.065,49.275
919,26659017,6862678,CC1=C(C(=CC=C1)NC(=S)N/N=C/C2=CC(=CC=C2)O)C,Active,54,,,=,3.86,5.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.86,5.413,3.096,11,-61.002,14,-62.923,16,50,8,15.538,4,23.077,4,-43.231,-62.923,-56
920,92764021,6279389,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CC(=C(C(=C3)OC)OC)OC,Active,57,,,=,2.04,5.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.04,5.690,4,-6.652,-100,12,-109.091,5.6,5.6,-4.545,-4.545,-4.545,-13.636,-40.909,-109.091,,
921,26670943,135529573,CN1C=CC=C1/C=C\2/C(=O)NC(=NC3=CC=C(C=C3)O)S2,Active,65,,,=,0.315,6.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,,=,0.315,6.502,4,-5.909,-55.909,14,-61.905,0.6,50,-10.476,-16.905,-10.238,-61.905,-45,-58.333,-53.333,-33.333
922,49647208,2917176,COC1=CC2=C(C=C1)OC(CC2=O)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.0435,13.0435,7,39.13,50,50,13.043,13.043,13.043,-4.348,13.043,,4.348,39.13
923,24838760,5214133,CCCOCCOC(=O)C1=C(C2=C(N1)CC(CC2=O)C3=C(C=CC(=C3)OC)OC)C,Active,54,,,=,3.69,5.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.69,5.433,4,0,-80,9,-83.333,5.6,5.6,-25,-10.507,16.667,-6.159,14.855,-83.333,,
924,56324108,17482997,C1CC(CN(C1)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCOCC3)C(F)(F)F,Active,44,,,=,39.24,4.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,39.24,4.406,1.042,6.962,-100,15,-50.894,50,50,16.156,-1.852,9.004,-11.111,5.3,1.852,-29.694,-50.894
925,49716256,22434781,CC1=CC2=C(C=C1)SC3=C(C=C(C=C3)C(=O)NCC4CCCO4)N=C2C,Active,56,,,=,2.57,5.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.57,5.590,4,-1.874,-51.874,14,-55.769,5.6,50,-4.121,-10.989,3.297,-3.571,-7.143,-55.769,-28.571,-51.923
926,24782972,15996752,CC1=C(NC2=C1C(=O)CC(C2)C3=CC=CS3)C(=O)OCCOC,Active,54,,,=,4.16,5.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.16,5.381,3.772,4.474,-80,11,-59.167,5.6,5.6,-17.5,14.167,10.833,16.667,0.833,-59.167,,
927,57266068,4868446,CN1C(=NN=C1SCC(=O)NC2CCS(=O)(=O)C2)C3=CC(=CC=C3)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.38889,1.38889,12,-8.333,0.068,50,-4.167,-8.333,8.333,0,0,4.167,8.333,8.333
928,57257357,25161568,CCN1C2=CC=CC=C2N=C1SC(C)C(=O)NCC3CCCO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-12.8205,-12.8205,12,-46.154,16,50,-3.846,,-3.846,0,-3.846,-23.077,-46.154,-19.231
929,17508389,3093427,CCCC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC1=CC=C(C=C1)N=NC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,27.9503,27.9503,7,143.478,50,50,21.739,13.043,13.043,-4.348,,4.348,4.348,143.478
930,89853738,624732,CC1=CC(=CC2=C1C3CCC4(C(C3C=C2)CCC4=O)C)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.95199,6.95199,16,74.456,50,50,-1.993,-23.188,-6.341,-6.522,-10.688,10.688,19.203,74.457
931,92763422,494161,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,15.906,-100,13,-23.077,50,50,15.385,7.692,0,3.846,-7.692,-7.692,-15.385,-23.077
932,56315965,16355603,CC1=CC(=C(S1)C)C(=O)CCC(=O)NC(C)C2=CC=C(C=C2)S(=O)(=O)N,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,13.94,-100,14,-39.231,50,50,11.026,7.179,11.026,0,-7.179,-11.026,-26.667,-39.231
933,57268256,16277658,CC1=C(C(=NO1)C)C(=O)NCC2COC3=CC=CC=C3O2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.53985,1.53985,16,14.674,1.8,50,-2.174,1.993,-6.522,6.522,14.674,6.159,-6.341,-1.993
934,26671042,3819005,C1C(O1)C(=O)C2=C(C=NN2)C3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,15.3061,15.3061,7,57.143,50,50,14.286,7.143,,0,-14.286,21.429,21.429,57.143
935,92764158,380099,COC1=C(C=C(C=C1)C2C3=CC4=C(C=C3OC5=C2C(=O)OC5)OCO4)OC,Active,54,,,=,3.72,5.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.72,5.429,4,8.422,-85.067,7,-82.609,16,16,-4.348,-4.348,21.739,13.043,13.043,-73.913,-82.609,
936,103076807,49791445,CC(=O)C1=CC=CC(=C1)C2=C3CC(OC3=NC=C2)C(=O)NCC4=CC=CO4,Active,57,,,=,2.01,5.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.01,5.697,4,0,-80,6,-82.609,5.6,5.6,-4.348,-13.044,4.348,4.348,-30.435,-82.609,,
937,22405485,5317826,C1C=CC(=O)OC1/C=C/C2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.41311,-5.41311,13,33.333,50,50,-9.259,2.778,8.333,-1.389,-13.426,-25,-22.222,33.333
938,99356221,283305,C1=CC=C(C=C1)C(=O)N2C(C3=CC=CC=C3C4=CC=CC=C42)C#N,Active,53,,,=,4.85,5.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.85,5.314,4,-4.778,-100,12,-66.667,5.6,5.6,-4.167,-8.333,-4.167,-8.333,0,-66.667,,
939,125306042,53383369,C1=CC=C(C=C1)CNC(=O)C(C2=CC=C(C=C2)C3=CC=CC=C3)N4C5=CC=CC=C5N=C(C4=O)C6=CC7=CC=CC=C7N6,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.26795,1.26795,13,-21.429,16,50,3.297,7.418,3.846,-7.143,3.571,0.549,-21.429,7.692
940,125305456,53382812,COC(=O)C1=CN(C(=C(C1C2=CC(=CC=C2)F)C#N)N)C3=CC4=C(C=C3)OCO4,Active,58,,,=,1.55,5.810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.55,5.810,1.541,-0.61,-130,12,-118.182,5.6,5.6,-9.091,4.545,0,-31.818,-68.182,-118.182,,
941,103051000,49778666,CC1(CC2=C(C=CN=C2O1)C3=CC4=C(C=C3)OCO4)C(=O)NCC5=CC=CO5,Active,57,,,=,1.88,5.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.88,5.726,4,6.309,-43.691,14,-38.462,5.6,50,-15.385,-3.846,7.692,-3.846,-15.385,-38.462,-26.923,-34.615
942,57257952,2843517,CC1CCN(CC1)C(=O)C2COC3=CC=CC=C3O2,Active,45,,,=,35.13,4.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,35.13,4.454,2.141,15.831,-100,15,-62.462,50,50,19.538,8.154,-15.385,27.385,19.538,19.077,-4,-62.462
943,26666379,3468280,CCOP(=O)(C#CC1=CC=CC=C1)C(C2=CC=C(C=C2)Br)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.794,4.555,-100,16,-34.762,50,50,7.143,0.714,-3.333,7.143,10.476,-7.143,-3.333,-34.762
944,99360013,46904475,C1=CC=C2C=C3C(=CC2=C1)C(=O)NC(C4=NC5=C(C=C(C=C5)Br)C(=O)N34)CC6=CC=C(C=C6)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,19.7917,19.7917,16,83.333,50,50,12.5,8.333,0,-8.333,0,16.667,45.833,83.333
945,92763436,99927,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC)O)C(=C4C(=C3C)O)O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,29.5454,29.5454,16,95.455,16,50,-18.182,-18.182,-9.091,9.091,22.727,68.182,95.455,86.364
946,57267977,25163469,CC1CCCCC1NC(=O)C(C)OC(=O)C2=CC=CS2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.904751,0.904751,14,20,1.8,50,-14.167,-14.333,-6,-2,20,10.167,8.333,18.5
947,92764022,421494,CCC1=C(CC2C3=CC(=C(C=C3CCN2C1)OC)OC)CC4C5=CC=CC=C5CCN4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.1793,13.1793,16,61.594,50,50,6.159,-2.355,1.812,-6.341,-2.355,-6.341,53.261,61.594
948,57261920,3440123,C1COCCN1C(CNC(=O)C2=CC=C(C=C2)OCC3=CC=CC=C3)C4=CC=CS4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.59419,1.59419,15,-16.667,0.21,50,2.355,2.174,-16.667,-6.159,2.174,2.174,6.703,10.87
949,85146129,44142101,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CC=C4F)OC5CCOC5,Active,47,,,=,22.28,4.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.28,4.652,0.5,0,-100,15,-45.833,5.6,50,0.926,1.389,-17.13,-33.796,-29.63,-45.833,-30.556,-41.667
950,24782803,2948676,C1CC(OC1)CNS(=O)(=O)C2=CC=C(C=C2)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.14285,7.14285,14,41.667,50,50,8.333,8.333,0,-4.167,4.167,8.333,8.333,41.667
951,7968472,5309423,C1CCN(CC1)C(=O)C(CC2=CC=CC=C2)N3C=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.44566,5.44566,15,15.751,50,50,3.297,-1.465,-6.227,-4.762,8.059,8.059,15.751,15.751
952,89855556,249858,CCCCC1(C(=O)NC(=O)N1)C2CCCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.617296,-0.617296,15,-17.13,5.6,50,14.815,17.13,3.704,-17.13,-8.796,-17.13,2.315,2.315
953,24809667,16192979,CC[N+]1(CC2CC3=CC=CC=C3C=C2C1)CC.[Br-],Active,46,,,=,27.84,4.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.84,4.555,4,11.008,-150,13,-143.91,50,50,3.846,12.18,4.487,0,13.141,33.333,8.333,-143.91
954,93576891,4605,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,55,,,=,3.38,5.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.38,5.471,0.923,3.775,-130,12,-77.083,5.6,5.6,3.75,-0.417,-9.792,-12.708,-48.125,-77.083,,
955,49680182,135432827,C1=CC=C2C(=C1)NC(=N2)/C(=C(/C3=CC=C(S3)Br)\O)/C#N,Active,54,,,=,3.88,5.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.88,5.411,4,5.04,-47.382,16,-51.333,16,50,6.167,10.667,6.667,-6,6.167,-38.833,-51.333,-42.833
956,49641498,3136125,CCCC(=O)NC(C1=CC=C(C=C1)C(C)C)C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,23.913,23.913,8,108.696,50,50,-4.348,-13.044,4.348,-13.044,13.043,21.739,73.913,108.696
957,51086544,16829961,COC1=CC=C(C=C1)NC(=O)C(=O)NCC2CCCN2S(=O)(=O)C3=CC=CS3,Active,54,,,=,3.63,5.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.63,5.440,1.876,13.102,-130,12,-86.574,5.6,5.6,18.981,7.407,15.278,4.167,-15.741,-86.574,,
958,121282684,24891868,CC(C)CC1C(=O)N(C2=C(N1)N=CN=C2N3CCN(CC3)C4=CC=CC=N4)CC5=CC=C(C=C5)Br.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.36574,6.36574,16,42.13,50,50,-9.259,10.185,3.241,6.481,-0.463,-0.926,-0.463,42.13
959,103060752,16557714,CCC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=CC=CC=C3N4CCCC4,Active,45,,,=,28.67,4.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,28.67,4.543,1.289,4.08,-100,16,-62.462,50,50,0.154,-11.538,7.538,15.846,4.154,-3.231,-35.231,-62.462
960,85268107,3923619,CCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=CC=C4F,Active,66,,,=,0.253,6.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66,,=,0.253,6.597,1.035,25,-25,12,-18.519,16,50,25.926,18.981,2.315,8.333,-16.667,-10.185,-18.519,-13.426
961,49642368,2871851,CC(=O)NC(C1=CC=C(C=C1)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,22.8261,22.8261,8,91.304,50,50,4.348,-13.044,-30.435,4.348,13.043,21.739,91.304,91.304
962,85271022,4374114,CC1CCCC(N1C(=O)COC(=O)C2=CC(=C(C=C2)OC)S(=O)(=O)N3CCOCC3)C,Active,45,,,=,29.56,4.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,29.56,4.529,1.112,6.343,-100,15,-76,50,50,12.87,12.522,8.522,-4.174,-3.826,-16.522,-16.174,-76
963,49667792,135530212,CCC1(CC2=CC=CC=C2C3=C1C(=O)NC=N3)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,14.2857,14.2857,7,30.435,5.6,50,13.043,21.739,,4.348,-4.348,30.435,21.739,13.043
964,49642102,3117460,CC1=NN(C(=O)C1N=NC2=CC(=CC=C2)O)C3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.95238,3.95238,14,20,0.21,50,10.333,16.667,20,10.167,-6,6.5,-1.667,-10
965,24779807,6884746,C1=CC(=CC=C1/C=N/NC(=S)NC2=C(C=C(C=C2)Cl)Cl)F,Active,45,,,=,32.2,4.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.2,4.492,0.977,-7.804,-100,8,-64.286,50,50,-14.286,0,-14.286,-7.143,-7.143,-28.571,-35.714,-64.286
966,56322108,16291120,CN(C1=CC=CC=C1)C(=O)C2=CC=CC=C2C(=O)OCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.41494,-9.41494,14,-32,0.6,50,16,-14.381,-5.619,-32,-9.619,-8.095,-4.095,-16.095
967,85146395,44142277,COC1=CC2=CN=C(C=C2C=C1)C3=CC(=CC(=C3)OC)OC,Active,44,,,=,43.59,4.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,43.59,4.361,3.057,-10.014,-100,7,-64.286,50,50,0,-7.143,-14.286,-21.429,,-7.143,-14.286,-64.286
968,87337510,135451360,COC1=C(C(=C(C(=C1)/C=C\2/C(=O)NC(=NC3=CC(=C(C=C3)Cl)C(=O)O)S2)Br)Br)O,Active,52,,,=,6.66,5.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.66,5.177,1.452,0,-300,8,-369.565,50,50,21.739,13.043,13.043,-4.348,-39.13,-134.783,-230.435,-369.565
969,89854823,243538,C1CN1P(=O)(N2CC2)OC3=CC=C(C=C3)C4=CC=CC=C4,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,25,-100,7,-27.273,50,50,36.364,27.273,9.091,,18.182,0,-9.091,-27.273
970,49643515,1176317,C1=CC=C(C=C1)CCN(CC2=CC=CC=N2)S(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N,Active,76,,,<,0.0235,7.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,76,,<,0.0235,7.629,0.519,0,-50,14,-51.429,50,50,-24.048,-34.762,-37.619,-41.19,-38.095,-40,-35.714,-51.429
