PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
329,56320847,9782,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-21.0476,-21.0476,15,-34.524,50,50,-17.381,-24.048,-13.81,-26.667,-10.238,-13.81,-30.714,-34.524
330,57263792,4845440,CN(CC(=O)NC1=CC(=CC=C1)S(=O)(=O)N2CCCC2)CC(=O)NC3=C(C(=C(C=C3)F)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.11111,6.11111,15,33.333,50,50,4.167,-4.167,0,-4.167,-4.167,4.167,16.667,33.333
331,26670998,135637585,CN1C=CC=C1/C=C\2/C(=O)NC(=NC3=CC(=CC=C3)O)S2,Active,49,,,=,13.54,4.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.54,4.868,0.953,3.011,-100,14,-74.957,50,50,-0.174,3.826,-4,-0.174,-3.826,-33.565,-52,-74.957
332,17514380,2142305,CC1=C(C2=C(O1)C(=O)C3=CC=CC=C3C2=O)C(=O)NCC4=CC=C(C=C4)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,16.3077,16.3077,13,27.385,0.0235,50,27.385,23.538,11.846,19.692,15.385,7.846,8,8
333,24827902,2126566,CC(C)[C@@H](C(=O)NC1=NC2=CC=CC=C2N1)NC(=O)C3=CC(=CC(=C3)OC)OC,Active,56,,,=,2.34,5.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.34,5.631,3.22,1.644,-198.356,10,-58.333,1.8,1.8,8.333,4.167,-8.333,0,-58.333,,,
334,103060188,16799263,C1=CC=C2C(=C1)C(=CN2)C(=O)C(=O)NCC3=NN=NN3C4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.13461,-9.13461,16,-23.077,0.6,50,-11.538,-3.846,-3.846,-23.077,-3.846,-15.385,0,-11.538
335,85271640,2411972,C1CCC2=C3C(=NN(C3=O)C4=CC=CC=C4)N=C(N2CC1)SCC(=O)NC5=CC=C(C=C5)OC(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.3191,13.3191,13,26.852,0.0235,50,26.852,19.444,7.87,7.407,4.167,16.667,12.5,7.407
336,99356260,285027,C1CN2C3=C(C=C(C=C3)Cl)C4=CC=CC=C4C2=N1,Active,56,,,=,2.72,5.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.72,5.565,1.596,-13.863,-113.942,12,-89.286,5.6,5.6,-7.143,-21.429,-17.857,-17.857,-50,-89.286,,
337,99359887,44631078,C#CC1=NC2=CC(=NN2C(=C1)N3CCN(CC3)C(=O)C4=COC=C4)C5=CC(=CC=C5)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.54545,4.54545,12,50,16,16,0,-9.091,0,-9.091,,-4.545,50,
338,92763746,370667,C1=CC=C2C(=C1)C=C3C=CC=C(C3=N2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N,Active,53,,,=,4.75,5.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.75,5.323,0.5,-13.831,-80,12,-45.455,5.6,5.6,-18.182,-18.182,-27.273,-31.818,-40.909,-45.455,,
