PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
985,87540553,44617349,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.82,5.166,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.82,5.166,2.176,1.979,-100,15,-116.949,35,35,,3.883,,,3.017,,,0.552,,,,-8.589,,,-27.147,,,-52.351,,,-88.926,,,-116.949
986,131462424,54666911,C1CCN2[C@H](CN(C1)S(=O)(=O)C3=CC=CC=C3)[C@H]([C@H]2CO)C4=CC=C(C=C4)C5=CC=CC=C5F,Active,45,,,=,33.65,4.473,,,,,,,,,,,,,,,,,,,,,,2,45,,=,33.65,4.473,1.592,-7.628,-100,16,-57.306,35,35,,-14.302,,,-5.449,,,-3.981,,,,-1.935,,,-14.51,,,-23.68,,,-22.747,,,-57.306
987,131459031,54663172,CN1[C@@H]2CN3C(=CC=C(C3=O)C4=CC=CC=C4)[C@H]1[C@H]([C@@H]2CO)C(=O)NC5CCCCC5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,70,4.155,0.546,1.84,-100,16,-20.641,35,35,,-7.562,,,4.774,,,-1.595,,,,3.427,,,-10.681,,,-15.665,,,-12.196,,,-20.641
988,131412953,54617882,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,56,,,=,2.78,5.556,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.78,5.556,2.074,-21.097,-117.236,15,-114.973,35,35,,-22.822,,,-19.535,,,-35.746,,,,-54.983,,,-82.249,,,-113.635,,,-113.122,,,-114.973
989,87218848,44537742,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)O[C@@H]1CN(C)CC4=CC=C(C=C4)OC5=CC=CC=C5)[C@@H](C)CO,Active,53,,,=,4.67,5.331,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.67,5.331,2.64,-15.846,-100,14,-111.483,16,16,,-13.439,,,-14.474,,,-23.625,,,,-20.898,,,-56.394,,,-75.385,,,-111.483,,,
990,131444678,54648282,CS(=O)(=O)NC1=CC2=C(C=C1)O[C@@H]3[C@H]2C[C@H](O[C@H]3CO)CC(=O)NCC4=CC=C(C=C4)C5=CC=CC=C5,Active,55,,,=,3.2,5.495,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.2,5.495,4,-3.278,-100.661,14,-103.045,35,35,,-6.05,,,1.378,,,-7.686,,,,-4.047,,,-81.802,,,-95.312,,,-98.575,,,-103.045
991,131434104,54637827,C[C@@H]1CN(C(=O)C2=C(C3=CC=CC=C3CO[C@@H]1CN(C)S(=O)(=O)C4=CC=CC(=C4)OC)C5=CC=CC=C5N2C)[C@H](C)CO,Active,50,,,=,9.53,5.021,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.53,5.021,3.504,4.893,-100,15,-117.014,35,35,,7.784,,,13.341,,,2.163,,,,-2.818,,,-2.883,,,-31.035,,,-85.112,,,-117.014
992,131409965,54614974,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)N(C)C)[C@@H](C)CO)C)CN(C)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,55,,,=,3.28,5.484,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.28,5.484,4,0,-100,13,-119.236,35,35,,15.595,,,-0.754,,,-9.062,,,,-4.449,,,-75.383,,,-103.744,,,-98.306,,,-119.236
993,144194091,60188175,COC1=CC=CC=C1C2=CC=C(C=C2)C3[C@H]4CN(C[C@@H]3N4)S(=O)(=O)C5=CC=C(C=C5)C6=CC=CC=C6,Active,46,,,=,23.33,4.632,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.33,4.632,4,-25,-100,12,-118.205,35,35,,-23.706,,,-16.279,,,-18.44,,,,-55.385,,,-34.092,,,-25.74,,,-23.698,,,-118.205
994,104170642,49843238,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=CC=C4,Active,51,,,=,8.05,5.094,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.05,5.094,2.5,-9.686,-100,16,-112.071,35,35,,-5.245,,,-7.382,,,,-13.223,,,-12.531,,,-33.137,,,-46.734,,,-89.342,,,-112.071
995,85804191,44497311,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CC3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.16,5.21,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.16,5.21,2.508,-16.058,-100,13,-110.364,16,16,,-12.924,,,-8.749,,,-22.91,,,,-27.811,,,-38.236,,,-67.338,,,-110.364,,,
996,131464705,54669192,C1CCN2[C@H](CN(C1)C(=O)NC3=CC=CC=C3)[C@H]([C@@H]2CO)C4=CC=C(C=C4)C#CC5=CC=CC=C5,Active,50,,,=,10.5,4.979,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.5,4.979,4,-11.407,-100,14,-98.485,16,16,,-13.141,,,-8.595,,,-14.785,,,,-8.987,,,-18.422,,,-23.921,,,-98.485,,,
997,131461232,54665719,CN1[C@@H]([C@H]2CCN([C@H]2C3=C1C=CC(=C3)C4=CC=CC(=C4)C#N)S(=O)(=O)C5=CC=CC=C5F)CO,Active,53,,,=,4.87,5.312,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.87,5.312,1.61,-20.255,-131.01,16,-124.078,35,35,,-14.922,,,-27.368,,,-31.215,,,,-43.975,,,-65.051,,,-98.315,,,-119.73,,,-124.078
998,131410334,54615298,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,53,,,=,4.77,5.321,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.77,5.321,2.658,-8.845,-100,12,-114.909,16,16,,-4.692,,,-5.673,,,-13.723,,,,-25.138,,,-42.24,,,-82.368,,,-114.909,,,
999,131412253,54617194,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,50,,,=,10.61,4.974,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.61,4.974,0.718,2.928,-100,12,-41.418,4.2,8,,-3.404,,,-9.504,,,-12.935,,,,-14.272,,,-41.418,,,-39.565,,,,,,
1000,131412373,54617310,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,50,,,=,9.86,5.006,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.86,5.006,2.545,-0.362,-100,14,-80.832,16,16,,5.016,,,-3.173,,,6.324,,,,-10.621,,,-14.544,,,-32.561,,,-80.832,,,
1001,131463187,54667674,CN(C)CC#CC1=CC=C(C=C1)[C@H]2[C@@H]3CN(CCCCN3[C@H]2CO)C(=O)NC4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,70,4.155,1.171,0,-100,13,-16.011,35,35,,,,,10.995,,,11.782,,,,8.808,,,-4.953,,,-7.203,,,-7.372,,,-16.011
1002,131412736,54617667,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F,Active,53,,,=,5.62,5.25,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.62,5.25,3.658,-15.992,-116.618,15,-117.295,35,35,,-11.111,,,-14.979,,,-15.357,,,,-24.092,,,-40.058,,,-96.117,,,-112.948,,,-117.295
1003,131462747,54667234,C1CCC(C1)NC(=O)N2CCCCN3[C@@H](C2)[C@@H]([C@@H]3CO)C4=CC=C(C=C4)/C=C/C5=CC=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.15337,-3.15337,14,-8.722,4.2,35,,3.087,,,3.406,,,-7.5,,,,-3.302,,,-8.722,,,1.858,,,-2.334,,,-5.934
1004,131446311,54649903,CCC1=CN=C(S1)N2[C@H]([C@@H]([C@@H]2C#N)C3=CC=C(C=C3)C#CC(C)C)CO,Active,48,,,=,15.43,4.812,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.43,4.812,2.884,-1.661,-100,16,-96.778,35,35,,1.829,,,6.309,,,0.748,,,,-5.936,,,-15.297,,,-14.011,,,-50.889,,,-96.778
1005,131455650,54659187,C1C[C@@H]2[C@H](COC[C@H](CN2CC3=CC=C(C=C3)F)O)O[C@H]1CC(=O)NCC4=CC=CC=C4Cl,Active,44,,,=,41.16,4.386,,,,,,,,,,,,,,,,,,,,,,2,44,,=,41.16,4.386,1.043,4.343,-100,14,-41.694,35,35,,2.667,,,0.277,,,2.251,,,,5.372,,,-3.425,,,-10.898,,,-27.596,,,-41.694
1006,87541326,44618122,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=C(ON=C4C)C,Active,50,,,=,10.42,4.982,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.42,4.982,1.914,8.287,-100,13,-66.928,16,16,,4.128,,,13.594,,,-1.03,,,,14.437,,,-13.695,,,-29.457,,,-66.928,,,
1007,87541153,44617949,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,53,,,=,5.08,5.294,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.08,5.294,2.021,-13.051,-126.025,15,-123.863,35,35,,-12.378,,,-10.062,,,-20.416,,,,-29.886,,,-56.601,,,-95.852,,,-114.911,,,-123.863
1008,131409359,54614379,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C)O[C@H]1CN(C)CC5=CC=C(C=C5)OC6=CC=CC=C6)[C@@H](C)CO,Active,51,,,=,7.45,5.128,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.45,5.128,2.094,5.76,-100,11,-112.159,35,35,,11.371,,,5.974,,,,,,,-4.556,,,-22.335,,,-48.932,,,-74.112,,,-112.159
1009,85802367,44495527,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@H](C)CO,Active,47,,,=,19.3,4.714,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.3,4.714,1.351,7.575,-100,14,-36.902,16,16,,6.729,,,3.825,,,7.006,,,,3.16,,,1.652,,,-24.713,,,-36.902,,,
1010,131411824,54616769,C[C@@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,51,,,=,7.68,5.115,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.68,5.115,2.412,-4.027,-126.356,15,-120.852,35,35,,-1.351,,,-0.517,,,-9.788,,,,-8.093,,,-30.108,,,-64.418,,,-112.971,,,-120.852
1011,87539628,44616428,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)O[C@H]1CN(C)CC4CCCCC4)[C@@H](C)CO,Active,47,,,=,20.35,4.691,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.35,4.691,0.796,13.564,-100,14,-36.267,16,16,,8.618,,,10.786,,,0.492,,,,1.352,,,-11.58,,,-26.036,,,-36.267,,,
1012,85795185,44488656,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O[C@@H]1CN(C)CC4CCCCC4)[C@@H](C)CO,Active,49,,,=,11.68,4.933,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.68,4.933,2.459,-10.399,-136.288,13,-127.541,35,35,,-8.43,,,-7.557,,,-17.703,,,,-8.573,,,-26.67,,,-37.661,,,-98.662,,,-127.541
1013,87543601,44620392,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)C(=O)C4=CC=CC=C4,Active,54,,,=,3.76,5.425,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.76,5.425,1.385,-3.218,-128.739,15,-122.324,35,35,,-4.044,,,,-12.512,,,-25.393,,,-44.184,,,-62.583,,,,-108.476,,,-113.253,,-122.324
1014,87539857,44616657,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,55,,,=,3.41,5.467,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.41,5.467,1.628,8.217,-120.576,15,-115.643,35,35,,9.843,,,-2.736,,,-1.852,,,,-33.234,,,-66.191,,,-94.001,,,-114.131,,,-115.643
1015,131423342,54627673,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3OC)O[C@H]1CN(C)CC4=CN=CN=C4)[C@H](C)CO,Active,57,,,=,2.16,5.666,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.16,5.666,1.668,-10.786,-100,14,-112.751,16,16,,-12.664,,,-14.289,,,-38.106,,,,-50.631,,,-74.686,,,-90.51,,,-112.751,,,
1016,131410336,54615300,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,53,,,=,5.3,5.276,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.3,5.276,2.552,-7.561,-118.286,16,-118.085,35,35,,-7.302,,,-6.359,,,-11.068,,,,-17.147,,,-46.3,,,-90.458,,,-110.824,,,-118.085
1017,131412457,54617392,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.82,5.166,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.82,5.166,2.835,-11.602,-124.876,15,-123.012,35,35,,-6.266,,,-12.985,,,-14,,,,-18.506,,,-32.296,,,-80.855,,,-116.556,,,-123.012
1018,134962038,56835304,C[C@@H]1CN(C(=O)C2=C(C3=CC=CC=C3CO[C@H]1CN(C)C(=O)NC4=CC5=C(C=C4)OCO5)C6=CC=CC=C6N2C)[C@@H](C)CO,Active,53,,,=,5.68,5.246,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.68,5.246,2.186,1.637,-100,15,-120.036,35,35,,2.337,,,,7.821,,,-1.92,,,-19.2,,,-30.529,,,-61.07,,,-99.804,,,-120.036
1019,87542174,44618968,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@H](C)CO)C)CN(C)CC4=CC=CC=C4,Active,53,,,=,4.61,5.336,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.61,5.336,3.352,-20.375,-100,14,-115.678,35,35,,-22.411,,,-11.34,,,-24.598,,,,-30.466,,,-51.353,,,-94.406,,,-99.239,,,-115.678
1020,131425910,54630179,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3OC)O[C@@H]1CN(C)CC4=CC=NC=C4)[C@@H](C)CO,Active,50,,,=,10.86,4.964,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.86,4.964,4,-13.994,-100,14,-114.685,35,35,,-8.144,,,-13.998,,,-11.557,,,,-17.792,,,-24.665,,,-25.784,,,-98.78,,,-114.685
1021,131411777,54616723,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)CC4=CC5=C(C=C4)OCO5,Active,47,,,=,21.95,4.659,,,,,,,,,,,,,,,,,,,,,,2,47,,=,21.95,4.659,0.982,3.385,-100,14,-38.264,16,16,,0.896,,,2.692,,,-6.458,,,,1.449,,,-14.416,,,-28.738,,,-38.264,,,
1022,131411631,54616577,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)F,Active,56,,,=,2.58,5.588,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.58,5.588,4,-15.366,-115.042,15,-118.771,35,35,,-6.685,,,-16.394,,,-21.782,,,,-44.291,,,-104.8,,,-108.663,,,-114.912,,,-118.771
1023,85805606,44498669,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,50,,,=,9.89,5.005,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.89,5.005,4,0,-100,12,-101.7,16,16,,7.765,,,,,,-7.393,,,,9.591,,,-12.471,,,-20.586,,,-101.7,,,
1024,131412122,54617063,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.17599,-2.17599,15,-12.532,8,35,,0.945,,,0.264,,,0.296,,,,-1.497,,,1.039,,,-12.532,,,-7.924,,,-3.178
1025,85807332,44500291,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC=C(C=C4)OC5=CC=CC=C5)[C@@H](C)CO,Active,46,,,=,25.3,4.597,,,,,,,,,,,,,,,,,,,,,,2,46,,=,25.3,4.597,2.171,-4.724,-100,15,-70.155,35,35,,-2.911,,,,-5.709,,,-3.339,,,-8.101,,,-4.516,,,,-16.493,,,-33.77,,-70.155
1026,104170643,49843428,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)C(=O)C4CCCCC4,Active,48,,,=,15.83,4.801,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.83,4.801,4,-5.506,-100,15,-110.754,35,35,,-1.882,,,,-1.445,,,-8.116,,,-10.976,,,-10.97,,,,-6.619,,,-66.475,,-110.754
1027,87541352,44618148,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,51,,,=,8.42,5.075,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.42,5.075,2.597,-5.094,-122.86,16,-117.336,35,35,,-6.7,,,-0.888,,,-4.451,,,,-10.444,,,-25.509,,,-55.693,,,-109.046,,,-117.336
1028,131412616,54617548,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=CS3)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,54,,,=,4.18,5.379,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.18,5.379,1.583,-7.294,-114.807,16,-110.391,35,35,,-15.756,,,-3.862,,,-15.339,,,,-35.771,,,-64.717,,,-80.499,,,-107.167,,,-110.391
1029,144197423,60191404,CS(=O)(=O)N1C[C@@H]2[C@H]([C@H](N2C(=O)C1)CO)C3=CC=C(C=C3)C#CCC4CCCC4,Active,52,,,=,5.98,5.223,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.98,5.223,3.034,-13.672,-115.882,11,-116.337,35,35,,,,,-12.312,,,-9.746,,,,-22.97,,,-34.924,,,-87.674,,,-107.411,,,-116.337
1030,131411937,54616882,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,49,,,=,13.97,4.855,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.97,4.855,3.484,-7.898,-100,15,-118.768,35,35,,-7.153,,,,-2.806,,,-7.337,,,-5.698,,,-17.835,,,,-25.285,,,-69.677,,-118.768
1031,85803063,44496203,C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC=C(C=C3)F)O[C@@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)C)[C@@H](C)CO,Active,49,,,=,11.53,4.938,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.53,4.938,2.429,-8.511,-100,15,-106.716,35,35,,0.352,,,-4.474,,,-11.811,,,,-18.431,,,-19.211,,,-32.898,,,-70.187,,,-106.716
1032,131456926,54660448,C1C[C@@H]2[C@H](COC[C@H](CN2S(=O)(=O)C3=CC(=CC=C3)Cl)O)O[C@@H]1CC(=O)NC4=CC=C(C=C4)C5=CC=CC=C5,Active,50,,,=,9.62,5.017,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.62,5.017,4,-19.376,-117.803,15,-116.586,35,35,,-12.549,,,-22.9,,,-14.812,,,,-24.243,,,-22.753,,,-50.441,,,-107.773,,,-116.586
1033,131460370,54664857,C1CN([C@H]2[C@@H]1[C@H](NC3=C2C=C(C=C3)C4=CC=CC(=C4)C#N)CO)S(=O)(=O)C5=CC=C(C=C5)F,Active,52,,,=,6.61,5.18,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.61,5.18,1.868,-1.124,-100,14,-84.452,16,16,,-0.536,,,0.757,,,-11.321,,,,-5.403,,,-34.062,,,-57.846,,,-84.452,,,
1034,87218855,44537752,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)O[C@@H]1CN(C)CC4=CC(=C(C=C4)Cl)Cl)[C@H](C)CO,Active,50,,,=,9.45,5.025,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.45,5.025,2.556,-9.59,-100,15,-118.592,35,35,,-9.878,,,-7.748,,,-9.873,,,,-11.466,,,-22.005,,,-45.186,,,-77.985,,,-118.592
1035,131443480,54647106,C1[C@@H](O[C@@H]([C@@H]2[C@H]1C3=C(O2)C=CC(=C3)NC(=O)NC4=CC=C(C=C4)C(F)(F)F)CO)CC(=O)NCCC5=CC=CC=C5,Active,57,,,=,2.07,5.684,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.07,5.684,1.464,0,-100,12,-118.487,35,35,,-4.004,,,-10.776,,,-28.565,,,,-52.674,,,-59.009,,,-74.978,,,-114.952,,,-118.487
1036,131414517,54619393,C[C@H]1CN(C(=O)C2=C(N=CC(=C2)C#C[C@H](C)O)O[C@H]1CN(C)CC3=CC=C(C=C3)C4=CC=CC=C4)[C@H](C)CO,Active,53,,,=,5.05,5.297,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.05,5.297,1.958,-25,-100,14,-103.797,16,16,,-23.011,,,-28.767,,,-36.363,,,,-43.609,,,-48.227,,,-77.29,,,-103.797,,,
1037,87542072,44618866,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)CC4=CC=CC=C4,Active,49,,,=,11.59,4.936,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.59,4.936,3.761,-6.983,-127.963,16,-125.224,35,35,,-8,,,,-2.802,,,-6.512,,,-4.686,,,-16.826,,,,-39.129,,,-109.96,,-125.224
