PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
715,99495454,46948640,CC(C)C1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=CC(=NO3)C(=O)NC4=CC=CC=C4Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.69099,2.69099,16,6.629,0.3,26,1.8,3.67,4.273,6.629,3.7,4.315,-2.488,-0.372
716,51085855,16830247,COC1=CC(=C(C=C1)OC)S(=O)(=O)NCC(C2=CC=CS2)N3CCC4=CC=CC=C4C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.600597,0.600597,16,-6.111,26,26,4.132,0.397,5.19,1.923,4.704,-4.793,-0.637,-6.111
717,24808833,2855815,C1CSCCN1C2CC(=O)N(C2=O)C3=CC(=CC=C3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.679,1.525,-100,14,-9.174,26,26,2.789,0.013,2.01,0.131,-0.222,-1.036,-2.827,-9.174
718,49826548,24819391,C1CCC(C1)CCCNC(=O)CC2C(=O)NCCN2CC3=C(C(=CC=C3)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.816,8.803,-100,16,-11.295,26,26,8.463,8.305,8.81,8.321,6.81,6.496,-1.318,-11.295
719,24806503,2902677,C1C=C(CC2C1C(=O)N(C2=O)NC(=O)C3=CC=NC=C3)Cl,Active,48,,,=,16.53,4.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.53,4.782,1.112,2.836,-100,16,-61,26,26,4.717,1.616,3.965,-1.782,-0.491,-8.671,-29.753,-61
720,49667614,3907874,CCOC1=C(C=C(C=C1)CCNC(=O)C2CC(=CCC2C(=O)O)C)OCC,Active,48,,,=,15.52,4.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.52,4.809,1.071,-3.528,-100,16,-64.415,26,26,-5.605,-4.18,-2.738,-4.038,-6.835,-17.548,-35.696,-64.415
721,49640873,2791194,CC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.06924,-3.06924,16,-6.044,0.011,26,-6.044,-3.232,-1.37,-3.722,-1.179,-1.393,-2.605,-5.008
722,99361026,46904953,CC1=C2C=C(C=C(C2=NC=C1)NCCCCC(C)N)OC.OP(=O)(O)O,Active,53,,,=,4.77,5.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.77,5.321,1.41,5.743,-100,16,-91.519,26,26,7.077,4.993,6.642,2.034,-4.567,-27.678,-65.995,-91.519
723,99456611,46943964,CC1(CCN1CC2=CC=C(C=C2)SC)C(=O)NC3=CC(=CC=C3)NS(=O)(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.49765,3.49765,16,7.124,0.9,26,0.859,3.259,6.321,5.283,7.124,5.402,1.789,-2.057
724,57266499,4433217,CC1CCCCC1NC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,44,,,=,43.8,4.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,43.8,4.359,0.778,5.314,-100,16,-36.143,26,26,3.185,7.747,2.193,4.458,-0.183,-3.818,-18.943,-36.143
725,57261098,3636424,CC(=O)NC1=CC(=CC=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.53801,-1.53801,16,-7.741,26,26,0.633,-3.6,3.142,-2.613,1.191,-3.495,0.179,-7.741
726,49675389,2116234,CCCCOC1=CC=C(C=C1)C(=O)OCC(=O)N2CCOCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.75134,5.75134,16,8.707,0.9,26,2.125,4.148,7.969,8.326,8.707,4.983,5.434,4.318
727,24822298,135420845,C1=CC=C(C(=C1)C(=O)N/N=C/C2=C3C=CC=CC3=C(O2)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.54984,-3.54984,16,-5.888,26,26,-5.508,-2.062,-3.127,-0.394,-3.572,-2.67,-5.176,-5.888
728,24822592,731722,C1=CC2=C(C=C1[N+](=O)[O-])SC(=N2)NC(=O)C3=CC=NC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.724598,-0.724598,16,-4.888,26,26,2.394,0.168,1.299,-0.179,0.293,-0.007,-4.877,-4.888
729,49716845,24789924,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CCCCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.99805,-1.99805,16,-10.79,26,26,-1.839,3.431,-0.02,3.979,-2.361,-0.179,-8.204,-10.79
730,85199198,2612178,COC1=CC(=CC(=C1OC)OC)NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-],Active,56,,,=,2.44,5.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.44,5.613,3.69,3.023,-83.178,12,-82.115,8,8,3.239,1.782,4.645,2.37,0.918,-52.156,-82.115,
731,49823585,25237253,C1=CC=C2C(=C1)C(=O)C(=CO2)/C=N/NC(=O)C3=C(C=CC(=C3)Br)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.40741,-8.40741,15,-19.34,2.85,26,4.921,2.542,-1.115,-9.447,-15.559,-19.34,-13.294,-10.494
732,26669300,6883442,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)/C=N/NC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,Active,58,,,=,1.78,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.78,5.75,2.191,-1.231,-65.593,15,-65.624,26,26,0.265,-2.565,-0.462,-3.851,-12.601,-49.058,-62.93,-65.624
733,85147438,44143222,C1COCCN1CCNC2=CC(=C3C(=C2)C=CC=N3)O.C(=O)(C(F)(F)F)O,Active,55,,,=,3.39,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.39,5.47,1.157,3.27,-100,16,-95.309,26,26,2.976,4.722,0.721,-1.037,-20.397,-39.172,-71.956,-95.309
734,49641222,1098907,CC1=C(C=C(C=C1)C(=O)O)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active,50,,,=,10.35,4.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.35,4.985,1.19,2.421,-100,14,-74.03,26,26,1.76,4.506,0.642,1.377,-4.102,-14.398,-42.645,-74.03
735,49725326,3470760,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CCC3=CC=C(C=C3)OC,Active,43,,,=,47.06,4.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,47.06,4.327,1.638,3.991,-100,15,-24.566,26,26,4.478,3.504,3.801,4.259,3.847,2.629,-1.303,-24.566
736,24841236,2438778,C1=CC(=C(C=C1C(=O)O)S(=O)(=O)NC2=CC3=C(C=C2)C=NN3)Cl,Active,50,,,=,11.14,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.14,4.953,0.987,1.214,-100,16,-68.724,26,26,1.302,0.56,0.314,-2.43,-5.564,-19.185,-42.337,-68.724
737,7972339,1276275,C1=CC(=CC=C1C2=CC=C(N2CC(=O)O)CCC(=O)O)Br,Active,55,,,=,3.5,5.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.5,5.456,2.358,-2.558,-63.994,16,-63.074,26,26,-2.757,-3.579,-0.522,-2.445,-6.373,-25.537,-56.926,-63.074
738,14745958,2431899,CCCC1=CC(=C(C=C1O)O)C2=NNC(=C2C3=CSC=N3)C(=O)OCC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.89825,-4.89825,16,-12.93,26,26,-6.072,-4.741,-1.147,-4.219,-3.03,-4.064,-2.983,-12.93
739,99455854,46943462,C1=CC=C(C=C1)CNC2=NC3=C(C(=N2)C4=CC=CC=C4CO)SC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.771,6.27,-100,15,-13.632,26,26,3,6.363,5.23,7.538,5.416,1.166,-3.296,-13.632
740,22414654,5407779,CC1=C(C(=O)OC2=C(C(=C(C=C12)O)O)Br)Br,Active,47,,,=,19.52,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.52,4.71,0.559,4.397,-100,15,-50.297,26,26,1.915,-0.189,0.288,-3.224,-8.858,-25.062,-37.847,-50.297
741,49665578,135403208,C1=CC=C2C(=C1)[N+](=C3C=CC(=CC3=[N+]2[O-])O)[O-],Active,52,,,=,6.89,5.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.89,5.162,0.779,3.194,-100,15,-72.566,26,26,3.199,-1.005,3.379,-5.094,-13.954,-31.874,-51.569,-72.566
742,49735145,16019790,CC(C)OCCCNC(=O)CN1C(=O)COC2=C1C=C(C=C2)S(=O)(=O)N3CCCCCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.508445,0.508445,16,-6.893,8,26,-0.004,5.903,1.79,5.521,-2.5,2.753,-6.893,-2.502
743,49676114,3739108,CC1=CC=C(C=C1)N2C(=O)CC3=CC=CC=C3C2=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.62,5.73,-100,16,-29.331,26,26,5.275,2.764,3.26,3.947,1.867,-6.173,-19.615,-29.331
744,4259887,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,Active,45,,,=,34.35,4.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.35,4.464,0.732,5.102,-100,16,-41.273,26,26,-0.652,5.962,3.943,6.592,0.31,-13.107,-21.984,-41.273
745,49665608,17366199,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)CCCC3=CC=CC=C3)OC.C(=O)(C(=O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.916071,0.916071,16,-32.84,0.011,26,-32.84,1.968,7.725,5.671,7.966,5.35,8.041,3.447
746,85198850,2120223,CC1=C(C=C(C=C1OC)C(=O)OCC(=O)N2CCCC2=O)OC,Active,47,,,=,18.49,4.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.49,4.733,0.861,5.627,-100,16,-53.394,26,26,1.612,8.077,3.336,5.107,-2.724,-9.309,-32.241,-53.394
747,24829478,6087851,CCO/C=C/1\C2=CC=CC=C2C(=O)N(C1=O)C3=CC=CC=C3OC,Active,49,,,=,13.92,4.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.92,4.856,2.11,0.782,-100,16,-79.128,26,26,3.701,1.625,1.92,-1.867,-0.255,-4.796,-22.333,-79.128
748,49677813,4462502,CC(=O)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3CCCCC3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.226,1.02,-100,15,-24.106,26,26,-1.426,-3.407,1.299,4.192,-0.177,2.24,-8.561,-24.106
749,57265208,16232820,C1CCN(C1)C2=C(C=C(C=C2)C(F)(F)F)NS(=O)(=O)C3=CC=C(C=C3)CCC(=O)O,Active,44,,,=,38.43,4.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,38.43,4.415,0.5,8.812,-100,16,-35.759,26,26,5.977,5.861,5.35,2.625,-7.736,-18.797,-27.633,-35.759
750,103159002,3655468,CC1=CC(=CC=C1)N2C(=NC3=C2C=CC(=C3)C(=O)NCCN4CCOCC4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.196599,0.196599,16,2.848,0.9,26,0.299,-1.493,1.849,-1.812,2.848,-2.02,2.651,-0.749
751,57268468,2496725,COC1=CC=C(C=C1)CCNC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,46,,,=,24.07,4.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,24.07,4.619,1.794,5.918,-100,15,-50.577,26,26,4.178,7.013,5.27,4.253,6.648,5.196,-7.582,-50.577
752,4245110,3239617,CN1C2=C(C(=O)NC1=O)N(C(=N2)CN3CCOCC3)CC4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.51,0.778,-100,14,-5.286,26,26,1.319,-0.665,1.937,-0.171,1.472,,-0.359,-5.286
753,56316963,18104199,C1CN(CCC1C(=O)NC2=CC=CC=C2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.23692,4.23692,16,7.01,0.1,26,6.403,3.541,7.01,5.123,5.105,3.853,4.212,-1.352
754,49823699,1530100,CN1CCN(CC1)NC(=O)NC2CCCCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.50545,1.50545,16,-6.379,26,26,4.279,5.059,3.116,5.324,1.75,3.286,-4.391,-6.379
755,49827551,18106534,C1CN(CC=C1C2=CC=CC=C2)C(=O)CNC(=O)C3=CC=CC=C3Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.09789,5.09789,16,9.159,0.9,26,1.485,3.579,6.768,5.861,9.159,6.408,8.767,-1.244
756,49680894,436659,C1=CC=C2C(=C1)C(=O)C3=C(N2)C=CC(=C3)O,Active,48,,,=,17.72,4.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.72,4.752,0.709,7.35,-100,15,-54.17,26,26,7.338,3.901,7.036,0.984,-2.801,-17.618,-29.845,-54.17
757,26730377,2737887,CC(C)(C)C1=NN(C(=NC2=CC=CC=C2)SC1)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.03953,1.03953,16,5.249,0.035,26,-3.016,5.249,1.438,5.238,0.724,3.611,-3.251,-1.676
758,99356045,279589,CC(=O)N(C1=CC(=C(C=C1)O)C(=O)O)C2=C3C(=CC(=C2)OC)C=CC=N3,Active,55,,,=,3.48,5.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.48,5.458,3.113,0.214,-99.659,16,-98.454,26,26,-1.275,3.775,0.275,2.597,-6.229,-34.01,-93.956,-98.454
759,24783304,1102906,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Active,51,,,=,7.17,5.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.17,5.144,0.637,6.499,-100,16,-68.909,26,26,5.26,0.538,4.992,-9.048,-17.08,-30.612,-47.062,-68.909
760,26666875,307686,CSC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C(=O)NCC(=O)O,Active,47,,,=,18.37,4.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.37,4.736,1.494,6.208,-100,15,-60.025,26,26,4.757,6.594,5.479,8.083,3.356,2.15,-19.678,-60.025
761,26665141,72571,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC3=CC=CC=C3C(=O)O)OC)NC4=CC=CC=C4C(=O)O,Active,53,,,=,4.6,5.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.6,5.337,0.668,3.742,-100,15,-73.729,26,26,1.275,1.547,-7.106,-7.849,-21.206,-44.091,-58.199,-73.729
762,24823916,16195620,C1=CC(=CC(=C1)F)NC(=O)CSC2=C(SC=C2)[N+](=O)[O-],Active,48,,,=,16.31,4.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.31,4.788,0.562,4.715,-100,16,-53.205,26,26,1.931,-1.004,1.728,-2.586,-12.486,-26.144,-37.838,-53.205
763,56463315,24847757,C1=CC(=C(C=C1[C@H](CN)O)O)O.C(C(C(=O)O)O)(C(=O)O)O.O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.64409,5.64409,15,11.06,8,26,-0.628,-0.139,7.836,4.896,9.711,4.853,11.06,7.168
764,89853417,1910302,CCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)NC(=O)C4=CC=CC=C4,Active,43,,,=,47.44,4.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,47.44,4.324,0.5,-1.966,-100,16,-37.469,26,26,-2.559,-1.317,-6.998,-4.6,-18.159,-28.676,-32.918,-37.469
765,49670997,829367,COC1=CC=CC(=C1)NC(=O)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.50848,2.50848,16,5.482,0.035,26,3.408,5.482,2.226,4.324,-0.463,3.064,-0.345,2.372
766,103074158,49789618,COC1=CC=C(C=C1)OCCN2CCC(CC2)C(=O)NC(C3=CC=CC=C3OC)C4=CC=CC=N4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.00442,7.00442,16,9.507,0.3,26,6.05,9.496,8.15,9.507,5.331,9.244,3.905,4.353
767,99360677,317587,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=C(C=C2)O)O)O.C1=CC=C(C=C1)C(=O)O,Active,54,,,=,3.68,5.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.68,5.434,0.99,9.968,-100,16,-84.386,26,26,8.261,8.665,7.798,2.087,-10.773,-39.498,-65.51,-84.386
768,49646259,24747455,CC(=O)NC1C2=C(C=CC(=C2)Br)N(C1=O)CCN3CCOCC3.Cl,Active,49,,,=,12.58,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.58,4.9,0.776,4.778,-100,16,-61.088,26,26,2.598,5.136,1.102,1.947,-8.562,-19.288,-40.075,-61.088
769,89854641,3541856,C1CCC(C(C1)C(=O)NOC(=O)C2=CC=CC=C2)C(=O)NOC(=O)C3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.867,-4.371,-100,16,-24.262,26,26,-7.153,-4.481,-2.874,-4.353,-4.077,-9.021,-12.905,-24.262
770,49737235,24794042,CN1C2=CC=CC=C2C=C1C(=O)N3CCCC(C3)NC4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.18249,6.18249,16,9.872,0.9,26,2.81,8.317,6.987,9.725,9.872,8.313,4.801,-1.364
771,49719408,20939980,CC1CCCCN1CCCNC(=O)C2=CC3=C(C=C2)NC(=C3C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.115,100,15,38.524,26,26,4.717,3.283,5.624,7.474,10.694,14.849,22.399,38.524
772,22404519,4009944,C=CCC(C1=CC=C(C=C1)Cl)NCC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.904461,-0.904461,16,-3.506,26,26,-1.23,-0.112,-1.918,0.844,-0.965,1.654,-2.002,-3.506
773,47201152,2857521,CCC(CC)COC(=O)C1=C(NC(=O)NC1C2=C(C=CC(=C2)OC)OC)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.25195,4.25195,16,7.471,0.9,26,-0.556,2.518,6.049,5.3,7.471,3.121,7.199,2.914
774,49819525,16530429,CC(C(=O)NC1=CC=CC=C1OC)OC(=O)CCC2CCCCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.499963,-0.499963,16,-5.985,26,26,2.733,0.537,2.048,0.509,1.673,-0.178,-5.337,-5.985
775,99360649,316368,C1=CC2=C(C(C(=O)N2)C#N)N=C1,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,3.292,-100,16,-15.609,26,26,1.341,5.21,-0.03,3.461,-4.613,-1.958,-12.304,-15.609
776,4265048,2957355,C1CCC2(C1)C(CC(=O)O2)C(=O)NC3=CC=C(C=C3)Br,Active,52,,,=,6.92,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.92,5.16,0.756,6.991,-100,16,-71.541,26,26,3.895,6.153,3.073,1.352,-15.082,-29.108,-48.581,-71.541
777,92763384,322539,CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)COP(=O)(O)O)O)O)C(=N1)N,Active,45,,,=,29.57,4.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,29.57,4.529,1.392,-1.122,-100,15,-45.919,26,26,-4.297,-2.225,-0.881,1.464,-0.134,-3.74,-15.803,-45.919
